video_id,category
-GyJN1tr9RM,"biaya awal hidroponik, feedback penonton, keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
-YlHpqcgOow,"dampak pupuk ke tanaman, dosis dan waktu pupuk, efisiensi penggunaan pupuk, feedback penonton, konflik pupuk kimia organik"
1NnDgJzBAq4,"biaya awal hidroponik, feedback penonton, keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
28Eo_Xm8LYg,"dampak pupuk ke tanaman, dosis dan waktu pupuk, efisiensi penggunaan pupuk, feedback penonton, konflik pupuk kimia organik"
3MeyTr2kdBg,"feedback penonton, harga produk organik, hasil panen organik, kepercayaan produk organik, minat konsumen organik"
4CTYII_qHCQ,"dampak pupuk ke tanaman, dosis dan waktu pupuk, efisiensi penggunaan pupuk, feedback penonton, konflik pupuk kimia organik"
59vXGu65IS4,"biaya infrastruktur irigasi, efisiensi air irigasi, feedback penonton, keandalan sistem irigasi, teknologi irigasi modern"
5Fv2tGv9_Vo,"feedback penonton, harga produk organik, hasil panen organik, kepercayaan produk organik, minat konsumen organik"
9zyK_C4g4qU,"biaya awal hidroponik, feedback penonton, keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
AQLcjhHQBC0,"biaya infrastruktur irigasi, efisiensi air irigasi, feedback penonton, keandalan sistem irigasi, teknologi irigasi modern"
CKlWtn_c7Es,"biaya infrastruktur irigasi, efisiensi air irigasi, feedback penonton, keandalan sistem irigasi, teknologi irigasi modern"
DcG3sqwpSa0,"biaya awal hidroponik, feedback penonton, keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
G1MjF639DrY,"feedback penonton, harga produk organik, hasil panen organik, kepercayaan produk organik, minat konsumen organik"
GO6PuKMedeM,"biaya awal hidroponik, feedback penonton, keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
GzdFV_r-SHM,"alternatif pengendalian alami, efektivitas pengendalian hama, feedback penonton, kompatibilitas pestisida, risiko pestisida kesehatan"
JL2VZdA9wuc,"alternatif pengendalian alami, efektivitas pengendalian hama, feedback penonton, kompatibilitas pestisida, risiko pestisida kesehatan"
JTEhv7JCRF0,"alternatif pengendalian alami, efektivitas pengendalian hama, feedback penonton, kompatibilitas pestisida, risiko pestisida kesehatan"
M0KYwjW-22c,"alternatif pengendalian alami, efektivitas pengendalian hama, feedback penonton, kompatibilitas pestisida, risiko pestisida kesehatan"
MGpF_mdUVTg,"biaya infrastruktur irigasi, efisiensi air irigasi, feedback penonton, keandalan sistem irigasi, teknologi irigasi modern"
QQM9BKY0_K8,"dampak pupuk ke tanaman, dosis dan waktu pupuk, efisiensi penggunaan pupuk, feedback penonton, konflik pupuk kimia organik"
TCRV_d27iG0,"dampak pupuk ke tanaman, dosis dan waktu pupuk, efisiensi penggunaan pupuk, feedback penonton, konflik pupuk kimia organik"
UfbQxFXre5Q,"dampak pupuk ke tanaman, dosis dan waktu pupuk, efisiensi penggunaan pupuk, feedback penonton, konflik pupuk kimia organik"
Xrbn47ZiFYw,"alternatif pengendalian alami, efektivitas pengendalian hama, feedback penonton, kompatibilitas pestisida, risiko pestisida kesehatan"
YxYvJhEqC98,"feedback penonton, harga produk organik, hasil panen organik, kepercayaan produk organik, minat konsumen organik"
Z3QfdLBjRWk,"dampak pupuk ke tanaman, dosis dan waktu pupuk, efisiensi penggunaan pupuk, feedback penonton, konflik pupuk kimia organik"
_99fDKfRq50,"biaya infrastruktur irigasi, efisiensi air irigasi, feedback penonton, keandalan sistem irigasi, teknologi irigasi modern"
_lAVXCvou78,"alternatif pengendalian alami, efektivitas pengendalian hama, feedback penonton, kompatibilitas pestisida, risiko pestisida kesehatan"
bOsToXOFK4A,"alternatif pengendalian alami, efektivitas pengendalian hama, feedback penonton, kompatibilitas pestisida, risiko pestisida kesehatan"
e0SHDMs4bDk,"biaya infrastruktur irigasi, efisiensi air irigasi, feedback penonton, keandalan sistem irigasi, teknologi irigasi modern"
i86gVDwhNzg,"biaya infrastruktur irigasi, efisiensi air irigasi, feedback penonton, keandalan sistem irigasi, teknologi irigasi modern"
iArT8RhBxzY,"feedback penonton, harga produk organik, hasil panen organik, kepercayaan produk organik, minat konsumen organik"
inF984LZKa0,"dampak pupuk ke tanaman, dosis dan waktu pupuk, efisiensi penggunaan pupuk, feedback penonton, konflik pupuk kimia organik"
kS16kRKYJGg,"biaya infrastruktur irigasi, efisiensi air irigasi, feedback penonton, keandalan sistem irigasi, teknologi irigasi modern"
mLdvwruqEpo,"biaya awal hidroponik, feedback penonton, keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
pO43PBserhU,"alternatif pengendalian alami, efektivitas pengendalian hama, feedback penonton, kompatibilitas pestisida, risiko pestisida kesehatan"
ucfHy84xvec,"feedback penonton, harga produk organik, hasil panen organik, kepercayaan produk organik, minat konsumen organik"
vvcBT2Fg5IQ,"feedback penonton, harga produk organik, hasil panen organik, kepercayaan produk organik, minat konsumen organik"
y5B5sxJYEOI,"biaya awal hidroponik, feedback penonton, keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
ypbdbIGDYGw,"feedback penonton, harga produk organik, hasil panen organik, kepercayaan produk organik, minat konsumen organik"
zOKZCuwjWi8,"biaya awal hidroponik, feedback penonton, keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
