video_id,Positif,Netral,Negatif,Persentase_Positif (%),Persentase_Netral (%),Persentase_Negatif (%),Total
-GyJN1tr9RM,693,2080,44,24.6%,73.84%,1.56%,2817
-YlHpqcgOow,309,538,64,33.92%,59.06%,7.03%,911
1NnDgJzBAq4,156,491,35,22.87%,71.99%,5.13%,682
28Eo_Xm8LYg,448,879,116,31.05%,60.91%,8.04%,1443
3MeyTr2kdBg,86,153,16,33.73%,60.0%,6.27%,255
4CTYII_qHCQ,215,205,15,49.43%,47.13%,3.45%,435
59vXGu65IS4,54,86,5,37.24%,59.31%,3.45%,145
5Fv2tGv9_Vo,1070,2840,128,26.5%,70.33%,3.17%,4038
9zyK_C4g4qU,70,340,39,15.59%,75.72%,8.69%,449
AQLcjhHQBC0,35,256,24,11.11%,81.27%,7.62%,315
CKlWtn_c7Es,15,64,2,18.52%,79.01%,2.47%,81
DcG3sqwpSa0,105,240,14,29.25%,66.85%,3.9%,359
G1MjF639DrY,87,156,30,31.87%,57.14%,10.99%,273
GO6PuKMedeM,270,702,60,26.16%,68.02%,5.81%,1032
GzdFV_r-SHM,313,508,83,34.62%,56.19%,9.18%,904
JL2VZdA9wuc,324,388,85,40.65%,48.68%,10.66%,797
JTEhv7JCRF0,425,519,81,41.46%,50.63%,7.9%,1025
M0KYwjW-22c,102,244,35,26.77%,64.04%,9.19%,381
MGpF_mdUVTg,71,165,9,28.98%,67.35%,3.67%,245
QQM9BKY0_K8,380,350,34,49.74%,45.81%,4.45%,764
TCRV_d27iG0,339,497,21,39.56%,57.99%,2.45%,857
UfbQxFXre5Q,61,213,38,19.55%,68.27%,12.18%,312
Xrbn47ZiFYw,131,274,48,28.92%,60.49%,10.6%,453
YxYvJhEqC98,117,255,19,29.92%,65.22%,4.86%,391
Z3QfdLBjRWk,193,233,12,44.06%,53.2%,2.74%,438
_99fDKfRq50,42,255,15,13.46%,81.73%,4.81%,312
_lAVXCvou78,133,137,17,46.34%,47.74%,5.92%,287
bOsToXOFK4A,68,216,28,21.79%,69.23%,8.97%,312
e0SHDMs4bDk,69,190,11,25.56%,70.37%,4.07%,270
i86gVDwhNzg,58,99,26,31.69%,54.1%,14.21%,183
iArT8RhBxzY,118,323,34,24.84%,68.0%,7.16%,475
inF984LZKa0,289,772,91,25.09%,67.01%,7.9%,1152
kS16kRKYJGg,61,317,7,15.84%,82.34%,1.82%,385
mLdvwruqEpo,168,425,24,27.23%,68.88%,3.89%,617
pO43PBserhU,58,156,32,23.58%,63.41%,13.01%,246
ucfHy84xvec,130,190,16,38.69%,56.55%,4.76%,336
vvcBT2Fg5IQ,131,307,18,28.73%,67.32%,3.95%,456
y5B5sxJYEOI,93,348,97,17.29%,64.68%,18.03%,538
ypbdbIGDYGw,111,334,16,24.08%,72.45%,3.47%,461
zOKZCuwjWi8,71,156,11,29.83%,65.55%,4.62%,238
